feature,stage,reason
wavelet-LLH_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
wavelet-LLH_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
wavelet-LLH_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
wavelet-LLH_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
wavelet-LLH_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
wavelet-LLH_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
wavelet-LLH_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
wavelet-LLH_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
wavelet-LLH_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
wavelet-LLH_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
wavelet-LLH_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
wavelet-LLH_firstorder_90Percentile,icc,ICC_A=0.678 ≤ 0.75
wavelet-LLH_firstorder_Energy,icc,ICC_A=0.733 ≤ 0.75
wavelet-LLH_firstorder_InterquartileRange,icc,ICC_A=0.711 ≤ 0.75
wavelet-LLH_firstorder_Median,icc,ICC_A=0.609 ≤ 0.75
wavelet-LLH_firstorder_TotalEnergy,icc,ICC_A=0.733 ≤ 0.75
wavelet-LLH_glcm_Correlation,icc,ICC_A=0.739 ≤ 0.75
wavelet-LLH_glcm_MCC,icc,ICC_A=0.687 ≤ 0.75
wavelet-LLH_glrlm_GrayLevelNonUniformity,icc,ICC_A=0.702 ≤ 0.75
wavelet-LLH_glrlm_RunLengthNonUniformity,icc,ICC_A=0.735 ≤ 0.75
wavelet-LLH_glszm_GrayLevelNonUniformity,icc,ICC_A=0.720 ≤ 0.75
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.588 ≤ 0.75
wavelet-LLH_glszm_SizeZoneNonUniformity,icc,ICC_A=0.731 ≤ 0.75
wavelet-LLH_gldm_DependenceNonUniformity,icc,ICC_A=0.740 ≤ 0.75
wavelet-LLH_gldm_GrayLevelNonUniformity,icc,ICC_A=0.701 ≤ 0.75
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,icc,ICC_A=0.742 ≤ 0.75
wavelet-LLH_ngtdm_Busyness,icc,ICC_A=0.636 ≤ 0.75
wavelet-LLH_ngtdm_Coarseness,icc,ICC_A=0.669 ≤ 0.75
wavelet-LHL_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
wavelet-LHL_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
wavelet-LHL_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
wavelet-LHL_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
wavelet-LHL_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
wavelet-LHL_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
wavelet-LHL_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
wavelet-LHL_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
wavelet-LHL_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
wavelet-LHL_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
wavelet-LHL_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
wavelet-LHL_firstorder_10Percentile,icc,ICC_A=0.721 ≤ 0.75
wavelet-LHL_firstorder_Energy,icc,ICC_A=0.728 ≤ 0.75
