run_id,repeat,fold,population,population_state,training_id_hash,validation_id_hash,eligible_training_id_hash,eligible_validation_id_hash,centers,boundary,n_train_before_eligibility,n_validation_before_eligibility,n_train_after_eligibility,n_validation_after_eligibility,train_events,train_censors,validation_events,validation_censors,train_structural_absence,train_small_roi_1_9,train_extractable,validation_structural_absence,validation_small_roi_1_9,validation_extractable,n_structural_absence,n_small_roi_1_9,n_extractable,inner_5fold_feasible,paired_comparator_run_id,paired_population_equal,R_low_candidate_hash,R_high_candidate_hash,B_data_read,B_reader_invoked,B_source_opened,B_statistics_generated,performance_generated,binding_W04_modeling_protocol_sha256,binding_W03_candidate_freeze_sha256,binding_W07_outer_split_config_sha256,binding_W07_outer_split_artifact_sha256,binding_W07A_protocol_sha256,binding_W07A_amendment_json_sha256,binding_P4R_reconciliation_sha256
M0,1,1,main,main,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M1,1,1,main,main,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M2,1,1,main,main,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M0_W_available,1,1,W_available,W_available,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,M5,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M5,1,1,W_available,W_available,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,M0_W_available,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M2_R_low,1,1,R_low,R_low,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,125c9e6b70ca12e9598654225cf082ac75a75403ef1e8b251acfcd5c2f67ec9c,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,312,79,70,242,18,61,1,1,312,0,0,79,1,1,391,True,M3L,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M3L,1,1,R_low,R_low,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,125c9e6b70ca12e9598654225cf082ac75a75403ef1e8b251acfcd5c2f67ec9c,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,312,79,70,242,18,61,1,1,312,0,0,79,1,1,391,True,M2_R_low,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M2_R_high,1,1,R_high,R_high,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,90b08549c4bd7204a8437ce5fb984af608ba019a0cc10e6d1124b9fbddaf41b1,148ac9faad72ba250b558246967b26adfe3c52f9ff09e07377e6c3bef374dd06,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,282,67,66,216,15,52,21,11,282,7,5,67,28,16,349,True,M3H,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M3H,1,1,R_high,R_high,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,90b08549c4bd7204a8437ce5fb984af608ba019a0cc10e6d1124b9fbddaf41b1,148ac9faad72ba250b558246967b26adfe3c52f9ff09e07377e6c3bef374dd06,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,282,67,66,216,15,52,21,11,282,7,5,67,28,16,349,True,M2_R_high,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M2_dual_radiomics,1,1,dual_radiomics,dual_radiomics,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,afcd68e2d16fb200a858e02d728cf893ac7830b099b70813d5749678e9a16247,148ac9faad72ba250b558246967b26adfe3c52f9ff09e07377e6c3bef374dd06,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,280,67,65,215,15,52,22,12,280,7,5,67,29,17,347,True,M3L_dual_radiomics,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M3L_dual_radiomics,1,1,dual_radiomics,dual_radiomics,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,afcd68e2d16fb200a858e02d728cf893ac7830b099b70813d5749678e9a16247,148ac9faad72ba250b558246967b26adfe3c52f9ff09e07377e6c3bef374dd06,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,280,67,65,215,15,52,22,12,280,7,5,67,29,17,347,True,M2_dual_radiomics,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M3H_dual_radiomics,1,1,dual_radiomics,dual_radiomics,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,afcd68e2d16fb200a858e02d728cf893ac7830b099b70813d5749678e9a16247,148ac9faad72ba250b558246967b26adfe3c52f9ff09e07377e6c3bef374dd06,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,280,67,65,215,15,52,22,12,280,7,5,67,29,17,347,True,M2_dual_radiomics,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M4,1,1,dual_radiomics,dual_radiomics,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,afcd68e2d16fb200a858e02d728cf893ac7830b099b70813d5749678e9a16247,148ac9faad72ba250b558246967b26adfe3c52f9ff09e07377e6c3bef374dd06,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,280,67,65,215,15,52,22,12,280,7,5,67,29,17,347,True,M2_dual_radiomics,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M0-R,1,1,main,main,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M1-R,1,1,main,main,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M2-R,1,1,main,main,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M3L_vs_M3H,1,1,dual_radiomics,comparison_only,7eeb6103574fd96ee4b698a00c7a5205dce6092490f3fb149c704057cd03af4b,941f0b0bfac12b74ec6f4115878ae994027a81b11360b061d0e12eeb8e790674,afcd68e2d16fb200a858e02d728cf893ac7830b099b70813d5749678e9a16247,148ac9faad72ba250b558246967b26adfe3c52f9ff09e07377e6c3bef374dd06,"[2.131463317416468,3.5972065187440583]",2.864334918080263,314,79,280,67,65,215,15,52,22,12,280,7,5,67,29,17,347,True,M3H_dual_radiomics,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M0,1,2,main,main,e37726ce04d59aa9c22dbe8366ab269ad56ae2e7ffd1d7af348a1e5303d77683,cc5b0a9a06bd64f553214a6b09103edac60057bade2ed2299b5ce306532aa0f3,e37726ce04d59aa9c22dbe8366ab269ad56ae2e7ffd1d7af348a1e5303d77683,cc5b0a9a06bd64f553214a6b09103edac60057bade2ed2299b5ce306532aa0f3,"[2.1033126206929205,3.5336294341581214]",2.818471027425521,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M1,1,2,main,main,e37726ce04d59aa9c22dbe8366ab269ad56ae2e7ffd1d7af348a1e5303d77683,cc5b0a9a06bd64f553214a6b09103edac60057bade2ed2299b5ce306532aa0f3,e37726ce04d59aa9c22dbe8366ab269ad56ae2e7ffd1d7af348a1e5303d77683,cc5b0a9a06bd64f553214a6b09103edac60057bade2ed2299b5ce306532aa0f3,"[2.1033126206929205,3.5336294341581214]",2.818471027425521,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
M2,1,2,main,main,e37726ce04d59aa9c22dbe8366ab269ad56ae2e7ffd1d7af348a1e5303d77683,cc5b0a9a06bd64f553214a6b09103edac60057bade2ed2299b5ce306532aa0f3,e37726ce04d59aa9c22dbe8366ab269ad56ae2e7ffd1d7af348a1e5303d77683,cc5b0a9a06bd64f553214a6b09103edac60057bade2ed2299b5ce306532aa0f3,"[2.1033126206929205,3.5336294341581214]",2.818471027425521,314,79,314,79,71,243,18,61,0,0,0,0,0,0,0,0,0,True,none,True,a5f6b8e571d222ce442b87b54c7fe295ccfce3201cfc1f75c3859a00fcbc46b0,a0bbb4b4ab475fffb725dd2c04c407273cf57c486bd00198e3d77f736e7434ce,False,False,False,False,False,888a4bbc871548fbef9cacc767d00cc9f01ed68d4396e20ee2063a0c098c3dfe,ae3ed731308d4915675678258bc1c23d9a9e9e493fec4dd57745e7049a3b5cb2,535f0aa7caef877727dc08bb70741b1c96ed4542230b5cfbf173eeff48677217,24764ee31381621d6a71098a00277743b126a8f00c382afb89d819357ece6502,adc8665ed5bc639353744bc6f2aa22ab421cf0a88e457057123ee29fbf7bcc70,0ca857a7b22c5b948c675f9970cc07b5a908c3f486be3f5656c86e20b5479f14,374ddc9f6ecd01c04ff957576f032fec18f0ebbb53f6651a725ad0b6aff7786d
